Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sarda,sarda,48.75,-61.75,7406:381:4,0.30
Sarda,sarda,48.75,-61.25,7406:381:3,0.31
Sarda,sarda,48.25,-61.75,7406:381:2,0.32
Sarda,sarda,48.25,-61.25,7406:381:1,0.33
Sarda,sarda,48.75,-60.75,7406:380:4,0.32
Sarda,sarda,48.25,-60.75,7406:380:2,0.35
Sarda,sarda,47.75,-64.75,7406:374:4,0.24
Sarda,sarda,47.75,-64.25,7406:374:3,0.26
Sarda,sarda,47.25,-64.75,7406:374:2,0.32
Sarda,sarda,47.75,-63.75,7406:373:4,0.26
Sarda,sarda,47.25,-63.25,7406:373:1,0.30
Sarda,sarda,47.75,-61.75,7406:371:4,0.24
Sarda,sarda,47.75,-60.75,7406:370:4,0.35
Sarda,sarda,47.75,-60.25,7406:370:3,0.37
Sarda,sarda,47.25,-60.75,7406:370:2,0.36
Sarda,sarda,47.25,-60.25,7406:370:1,0.38
Sarda,sarda,46.25,-64.75,7406:364:2,0.36
Sarda,sarda,46.75,-61.25,7406:361:3,0.31
Sarda,sarda,46.75,-60.75,7406:360:4,0.36
Sarda,sarda,45.75,-62.75,7406:352:4,0.24
Sarda,sarda,45.75,-61.75,7406:351:4,0.29
Sarda,sarda,43.25,-67.25,7406:237:1,0.36
Sarda,sarda,41.75,-66.75,7406:216:4,0.25
Sarda,sarda,40.75,-69.25,7406:209:3,0.22
Sarda,sarda,40.75,-66.25,7406:206:3,0.33
Sarda,sarda,42.75,-61.75,7406:121:4,0.21
Sarda,sarda,49.75,-59.75,7405:499:4,0.25
Sarda,sarda,49.25,-59.75,7405:499:2,0.30
Sarda,sarda,49.25,-59.25,7405:499:1,0.32
Sarda,sarda,49.75,-58.75,7405:498:4,0.28
Sarda,sarda,49.75,-58.25,7405:498:3,0.28
Sarda,sarda,49.25,-58.75,7405:498:2,0.32
Sarda,sarda,49.25,-58.25,7405:498:1,0.31
Sarda,sarda,49.75,-55.75,7405:495:4,0.21
Sarda,sarda,49.75,-55.25,7405:495:3,0.21
Sarda,sarda,48.75,-59.75,7405:489:4,0.35
Sarda,sarda,48.75,-59.25,7405:489:3,0.36
Sarda,sarda,48.25,-59.75,7405:489:2,0.37
Sarda,sarda,48.25,-59.25,7405:489:1,0.37
Sarda,sarda,48.75,-58.75,7405:488:4,0.35
Sarda,sarda,48.25,-58.75,7405:488:2,0.35
Sarda,sarda,47.75,-59.25,7405:479:3,0.39
Sarda,sarda,47.75,-58.75,7405:478:4,0.39
Sarda,sarda,47.75,-57.75,7405:477:4,0.39
Sarda,sarda,47.75,-57.25,7405:477:3,0.39
Sarda,sarda,47.75,-55.25,7405:475:3,0.37
Sarda,sarda,45.75,-55.75,7405:455:4,0.38
Sarda,sarda,49.75,-54.75,7405:394:4,0.20
Sarda,sarda,49.25,-53.25,7405:393:1,0.20
Sarda,sarda,48.75,-53.25,7405:383:3,0.25
Sarda,sarda,48.25,-53.75,7405:383:2,0.30
Sarda,sarda,48.25,-53.25,7405:383:1,0.28
Sarda,sarda,48.75,-52.75,7405:382:4,0.21
Sarda,sarda,48.25,-52.75,7405:382:2,0.25
Sarda,sarda,48.25,-51.75,7405:381:2,0.22
Sarda,sarda,48.25,-51.25,7405:381:1,0.22
Sarda,sarda,48.25,-50.75,7405:380:2,0.21
Sarda,sarda,48.25,-50.25,7405:380:1,0.21
Sarda,sarda,47.75,-54.75,7405:374:4,0.36
Sarda,sarda,47.75,-54.25,7405:374:3,0.37
Sarda,sarda,47.25,-54.25,7405:374:1,0.39
Sarda,sarda,47.75,-53.75,7405:373:4,0.34
Sarda,sarda,47.75,-53.25,7405:373:3,0.31
Sarda,sarda,47.25,-53.75,7405:373:2,0.21
Sarda,sarda,47.75,-52.75,7405:372:4,0.29
Sarda,sarda,47.75,-52.25,7405:372:3,0.20
Sarda,sarda,47.25,-52.75,7405:372:2,0.30
Sarda,sarda,47.25,-52.25,7405:372:1,0.29
Sarda,sarda,47.75,-51.75,7405:371:4,0.25
Sarda,sarda,47.75,-51.25,7405:371:3,0.26
Sarda,sarda,47.25,-51.75,7405:371:2,0.29
Sarda,sarda,47.25,-51.25,7405:371:1,0.30
Sarda,sarda,47.75,-50.75,7405:370:4,0.26
Sarda,sarda,47.75,-50.25,7405:370:3,0.25
Sarda,sarda,47.25,-50.75,7405:370:2,0.31
Sarda,sarda,47.25,-50.25,7405:370:1,0.31
Sarda,sarda,46.75,-54.75,7405:364:4,0.39
Sarda,sarda,46.75,-54.25,7405:364:3,0.38
Sarda,sarda,46.25,-54.25,7405:364:1,0.38
Sarda,sarda,46.75,-53.75,7405:363:4,0.37
Sarda,sarda,46.25,-53.75,7405:363:2,0.37
Sarda,sarda,46.25,-53.25,7405:363:1,0.37
Sarda,sarda,46.75,-52.75,7405:362:4,0.33
Sarda,sarda,46.75,-52.25,7405:362:3,0.34
Sarda,sarda,46.25,-52.75,7405:362:2,0.37
Sarda,sarda,46.25,-52.25,7405:362:1,0.39
Sarda,sarda,46.75,-51.75,7405:361:4,0.35
Sarda,sarda,46.75,-51.25,7405:361:3,0.36
Sarda,sarda,46.75,-50.75,7405:360:4,0.37
Sarda,sarda,46.75,-50.25,7405:360:3,0.37
Sarda,sarda,45.75,-51.25,7405:351:3,0.31
Sarda,sarda,45.75,-50.25,7405:350:3,0.27
Sarda,sarda,44.75,-51.25,7405:141:3,0.25
