Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophius,budegassa,19.75,-17.75,7101:497:4,0.49
Lophius,budegassa,17.75,-16.75,7101:476:4,0.44
Lophius,budegassa,17.25,-16.75,7101:476:2,0.40
Lophius,budegassa,15.75,-17.75,7101:457:4,0.45
Lophius,budegassa,15.75,-17.25,7101:457:3,0.40
Lophius,budegassa,15.25,-17.25,7101:457:1,0.42
Lophius,budegassa,14.75,-17.75,7101:247:4,0.46
Lophius,budegassa,14.25,-17.75,7101:247:2,0.46
Lophius,budegassa,13.75,-17.75,7101:237:4,0.46
Lophius,budegassa,13.25,-17.75,7101:237:2,0.45
Lophius,budegassa,62.75,7.25,1600:227:3,0.53
Lophius,budegassa,62.25,7.25,1600:227:1,0.48
Lophius,budegassa,62.75,6.75,1600:226:4,0.52
Lophius,budegassa,62.75,6.25,1600:226:3,0.53
Lophius,budegassa,62.25,6.75,1600:226:2,0.48
Lophius,budegassa,62.25,6.25,1600:226:1,0.49
Lophius,budegassa,62.75,5.75,1600:225:4,0.57
Lophius,budegassa,62.25,5.75,1600:225:2,0.49
Lophius,budegassa,62.25,5.25,1600:225:1,0.51
Lophius,budegassa,61.25,6.75,1600:216:2,0.40
Lophius,budegassa,61.25,6.25,1600:216:1,0.41
Lophius,budegassa,61.75,5.25,1600:215:3,0.45
