Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Syngnathus,typhle,59.25,23.25,1502:393:1,0.45
Syngnathus,typhle,59.25,22.75,1502:392:2,0.54
Syngnathus,typhle,59.75,21.25,1502:391:3,0.43
Syngnathus,typhle,59.75,20.75,1502:390:4,0.50
Syngnathus,typhle,59.75,20.25,1502:390:3,0.55
Syngnathus,typhle,58.75,23.25,1502:383:3,0.40
Syngnathus,typhle,58.75,22.75,1502:382:4,0.53
Syngnathus,typhle,58.25,22.25,1502:382:1,0.42
Syngnathus,typhle,55.25,20.25,1502:350:1,0.44
Syngnathus,typhle,59.75,19.75,1501:499:4,0.54
Syngnathus,typhle,59.75,19.25,1501:499:3,0.52
Syngnathus,typhle,59.75,18.75,1501:498:4,0.50
Syngnathus,typhle,57.25,17.75,1501:477:2,0.54
Syngnathus,typhle,57.25,16.25,1501:476:1,0.49
Syngnathus,typhle,56.25,14.25,1501:364:1,0.50
Syngnathus,typhle,59.25,9.75,1500:499:2,0.50
Syngnathus,typhle,56.25,7.75,1500:467:2,0.56
Syngnathus,typhle,54.75,9.25,1500:249:3,0.49
Syngnathus,typhle,54.25,9.25,1500:249:1,0.58
Syngnathus,typhle,53.75,8.75,1500:238:4,0.42
Syngnathus,typhle,53.25,8.25,1500:238:1,0.45
Syngnathus,typhle,52.75,5.75,1500:225:4,0.53
Syngnathus,typhle,52.75,0.25,1500:120:3,0.47
Syngnathus,typhle,51.25,4.25,1500:114:1,0.46
Syngnathus,typhle,51.25,3.75,1500:113:2,0.55
Syngnathus,typhle,43.25,41.25,1404:131:1,0.50
Syngnathus,typhle,46.75,35.25,1403:465:3,0.50
Syngnathus,typhle,45.75,30.25,1403:350:3,0.55
Syngnathus,typhle,44.25,28.75,1402:248:2,0.42
Syngnathus,typhle,42.75,16.25,1401:226:3,0.47
Syngnathus,typhle,40.25,19.25,1401:209:1,0.57
Syngnathus,typhle,40.75,18.25,1401:208:3,0.57
Syngnathus,typhle,40.25,18.75,1401:208:2,0.53
Syngnathus,typhle,40.25,18.25,1401:208:1,0.51
Syngnathus,typhle,40.75,17.75,1401:207:4,0.59
Syngnathus,typhle,40.75,17.25,1401:207:3,0.55
Syngnathus,typhle,40.25,17.25,1401:207:1,0.44
Syngnathus,typhle,40.25,16.75,1401:206:2,0.42
Syngnathus,typhle,42.75,10.25,1401:120:3,0.55
Syngnathus,typhle,42.25,10.75,1401:120:2,0.58
Syngnathus,typhle,42.25,10.25,1401:120:1,0.56
