"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cgale","Li_Ga","M12","Neural network",13.1452952452601,10.526963467446,15.7256634667295,"Beta"
"Cgale","Li_Ga","M12","Random forest",13.18308739,9.6029095969697,16.890534,"Beta"
"Cgale","Li_Ga","M21","Neural network",16.0931830854222,12.7116915940297,19.3552450707593,"Beta"
"Cgale","Li_Ga","M21","Random forest",16.1974381056667,12.0149250943396,20.4308882352941,"Beta"
"Cgale","Med_Atl","N1","Neural network",353451.358634889,322566.758095341,395979.536388085,"Beta"
"Cgale","Med_Atl","N1","Random forest",347116.510916667,304321.503759398,392319.22005571,"Beta"
"Cgale","Med_Atl","N2","Neural network",374992.515100325,346539.56535885,401656.566882345,"Beta"
"Cgale","Med_Atl","N2","Random forest",324427.3835,300107,348461.111111111,"Beta"
"Cgale","Med_Atl","Na","Neural network",248305.874938742,219536.393855095,277522.057899813,"Beta"
"Cgale","Med_Atl","Na","Random forest",272716.723583333,220765.20661157,328430.5,"Beta"
"Cgale","Med_Atl","shape_N_a","Neural network",2.64841545231529,2.42566276742098,2.82227709520238,"Beta"
"Cgale","Med_Atl","shape_N_a","Random forest",2.43754141783333,2.01471166666667,2.90878673768309,"Beta"
"Cgale","Med_Atl","shape_N_b","Neural network",1.08068047128072,0.888998704700655,1.32596328996657,"Beta"
"Cgale","Med_Atl","shape_N_b","Random forest",1.10680017816667,0.839188421052632,1.4021332,"Beta"
"Cgale","Med_Atl","Tsplit","Neural network",1304716.89553062,1098954.08045155,1478879.82203077,"Beta"
"Cgale","Med_Atl","Tsplit","Random forest",1270365.90566667,1149335,1434128,"Beta"
"Cgale","Med_Atl","Tsc","Neural network",63947.0874683186,54317.373738493,74978.2125978401,"Beta"
"Cgale","Med_Atl","Tsc","Random forest",66886.4866666667,51899.8455598456,80730.8737864078,"Beta"
"Cgale","Med_Atl","M12","Neural network",4.28707708498142,3.61155348479197,4.9754556897536,"Beta"
"Cgale","Med_Atl","M12","Random forest",4.26385090983333,3.24585189189189,5.25727537704918,"Beta"
"Cgale","Med_Atl","shape_M12_a","Neural network",0.220807854347838,0.174700777630119,0.264083821921042,"Beta"
"Cgale","Med_Atl","shape_M12_a","Random forest",0.2131638055,0.163023229166667,0.263947368421053,"Beta"
"Cgale","Med_Atl","shape_M12_b","Neural network",4.08406443564739,3.30633369518821,4.87574194179099,"Beta"
"Cgale","Med_Atl","shape_M12_b","Random forest",4.09551318616667,3.16390233552632,5.031388,"Beta"
"Cgale","Med_Atl","M21","Neural network",1.38041674923417,1.10140090095894,1.63695257882038,"Beta"
"Cgale","Med_Atl","M21","Random forest",1.304722345,1.03551,1.59906952380952,"Beta"
"Cgale","Med_Atl","shape_M21_a","Neural network",0.868167944147881,0.702839097195847,1.03616423453747,"Beta"
"Cgale","Med_Atl","shape_M21_a","Random forest",0.874581994166667,0.64859036939314,1.11005553254438,"Beta"
"Cgale","Med_Atl","shape_M21_b","Neural network",1.98869501202241,1.57696820228118,2.40685405422663,"Beta"
"Cgale","Med_Atl","shape_M21_b","Random forest",1.9918570075,1.47335933333333,2.424189,"Beta"
"Cjuli","Mu_Fa","N1","Neural network",509777.406348676,451819.119276735,572003.751114824,"Bimodal"
"Cjuli","Mu_Fa","N1","Random forest",465355.8705,387675.357142857,571692.181818182,"Bimodal"
"Cjuli","Mu_Fa","N2","Neural network",864089.710044621,794590.134387727,946004.534654125,"Bimodal"
