Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,fallax,34.75,24.75,1302:144:4,0.17
Alosa,fallax,34.75,24.25,1302:144:3,0.19
Alosa,fallax,33.25,23.25,1302:133:1,0.08
Alosa,fallax,33.25,22.75,1302:132:2,0.02
Alosa,fallax,33.25,22.25,1302:132:1,0.02
Alosa,fallax,32.25,24.75,1302:124:2,0.13
Alosa,fallax,32.25,24.25,1302:124:1,0.15
Alosa,fallax,32.75,23.75,1302:123:4,0.16
Alosa,fallax,32.75,23.25,1302:123:3,0.17
Alosa,fallax,32.25,23.75,1302:123:2,0.16
Alosa,fallax,32.25,23.25,1302:123:1,0.17
Alosa,fallax,32.75,22.75,1302:122:4,0.17
Alosa,fallax,32.75,22.25,1302:122:3,0.18
Alosa,fallax,32.75,21.75,1302:121:4,0.18
Alosa,fallax,32.75,21.25,1302:121:3,0.18
Alosa,fallax,32.75,20.75,1302:120:4,0.17
Alosa,fallax,32.75,20.25,1302:120:3,0.17
Alosa,fallax,32.25,20.25,1302:120:1,0.19
Alosa,fallax,30.75,20.25,1302:100:3,0.15
Alosa,fallax,36.25,15.75,1301:465:2,0.06
Alosa,fallax,39.75,14.75,1301:394:4,0.03
Alosa,fallax,38.25,10.75,1301:380:2,0.19
Alosa,fallax,38.25,10.25,1301:380:1,0.18
Alosa,fallax,36.25,13.25,1301:363:1,0.02
Alosa,fallax,34.75,16.25,1301:246:3,0.09
Alosa,fallax,34.25,16.75,1301:246:2,0.05
Alosa,fallax,34.25,15.75,1301:245:2,0.12
Alosa,fallax,34.25,15.25,1301:245:1,0.15
Alosa,fallax,32.25,19.25,1301:229:1,0.08
Alosa,fallax,32.25,16.25,1301:226:1,0.14
Alosa,fallax,32.75,15.75,1301:225:4,0.10
Alosa,fallax,32.75,15.25,1301:225:3,0.17
Alosa,fallax,32.25,15.75,1301:225:2,0.16
Alosa,fallax,32.25,15.25,1301:225:1,0.18
Alosa,fallax,31.75,19.25,1301:219:3,0.14
Alosa,fallax,31.25,18.75,1301:218:2,0.15
Alosa,fallax,31.25,18.25,1301:218:1,0.16
Alosa,fallax,31.75,17.75,1301:217:4,0.11
Alosa,fallax,31.75,17.25,1301:217:3,0.12
Alosa,fallax,31.25,17.75,1301:217:2,0.17
Alosa,fallax,31.25,17.25,1301:217:1,0.16
Alosa,fallax,31.75,16.75,1301:216:4,0.15
Alosa,fallax,31.75,16.25,1301:216:3,0.16
Alosa,fallax,31.25,16.75,1301:216:2,0.17
Alosa,fallax,31.75,15.25,1301:215:3,0.06
Alosa,fallax,31.25,15.75,1301:215:2,0.18
Alosa,fallax,30.25,19.75,1301:209:2,0.18
Alosa,fallax,30.75,17.75,1301:207:4,0.11
Alosa,fallax,34.75,14.75,1301:144:4,0.16
Alosa,fallax,34.75,14.25,1301:144:3,0.07
Alosa,fallax,33.75,14.75,1301:134:4,0.09
Alosa,fallax,33.75,14.25,1301:134:3,0.06
Alosa,fallax,33.25,14.25,1301:134:1,0.14
Alosa,fallax,33.75,13.75,1301:133:4,0.10
Alosa,fallax,33.25,11.25,1301:131:1,0.14
Alosa,fallax,32.25,14.75,1301:124:2,0.04
Alosa,fallax,32.75,13.25,1301:123:3,0.16
Alosa,fallax,32.75,12.25,1301:122:3,0.10
Alosa,fallax,39.75,8.75,1300:498:4,0.12
Alosa,fallax,65.75,-21.25,7602:351:3,0.28
Alosa,fallax,65.75,-20.75,7602:350:4,0.29
Alosa,fallax,65.75,-20.25,7602:350:3,0.29
Alosa,fallax,65.25,-20.75,7602:350:2,0.24
Alosa,fallax,64.75,-22.25,7602:142:3,0.38
Alosa,fallax,64.25,-21.75,7602:141:2,0.36
Alosa,fallax,65.75,-19.75,7601:459:4,0.30
Alosa,fallax,65.75,-14.75,7601:354:4,0.28
Alosa,fallax,65.75,-14.25,7601:354:3,0.29
Alosa,fallax,65.75,-13.75,7601:353:4,0.29
Alosa,fallax,65.75,-13.25,7601:353:3,0.29
Alosa,fallax,65.25,-13.75,7601:353:2,0.26
Alosa,fallax,65.25,-13.25,7601:353:1,0.26
Alosa,fallax,65.75,-12.75,7601:352:4,0.28
Alosa,fallax,65.75,-12.25,7601:352:3,0.27
Alosa,fallax,65.25,-12.75,7601:352:2,0.27
Alosa,fallax,65.25,-12.25,7601:352:1,0.28
Alosa,fallax,65.75,-11.75,7601:351:4,0.27
Alosa,fallax,65.25,-11.75,7601:351:2,0.29
Alosa,fallax,64.75,-13.75,7601:143:4,0.30
Alosa,fallax,64.75,-13.25,7601:143:3,0.30
Alosa,fallax,64.75,-12.75,7601:142:4,0.32
Alosa,fallax,64.75,-12.25,7601:142:3,0.35
Alosa,fallax,64.75,-11.75,7601:141:4,0.39
Alosa,fallax,64.25,-11.75,7601:141:2,0.31
Alosa,fallax,64.25,-11.25,7601:141:1,0.30
Alosa,fallax,63.75,-11.75,7601:131:4,0.30
Alosa,fallax,63.25,-11.25,7601:131:1,0.34
Alosa,fallax,63.75,-10.75,7601:130:4,0.26
Alosa,fallax,63.25,-10.25,7601:130:1,0.30
Alosa,fallax,60.75,-12.25,7601:102:3,0.30
Alosa,fallax,60.75,-11.25,7601:101:3,0.35
Alosa,fallax,60.25,-10.75,7601:100:2,0.27
Alosa,fallax,60.75,-7.25,7600:207:3,0.22
Alosa,fallax,60.25,-6.75,7600:206:2,0.24
Alosa,fallax,60.75,-5.25,7600:205:3,0.27
Alosa,fallax,57.25,-15.25,7501:475:1,0.35
Alosa,fallax,55.75,-16.25,7501:456:3,0.24
Alosa,fallax,55.75,-15.75,7501:455:4,0.34
Alosa,fallax,55.75,-14.75,7501:354:4,0.30
Alosa,fallax,52.25,-13.25,7501:123:1,0.26
Alosa,fallax,52.25,-12.25,7501:122:1,0.27
Alosa,fallax,59.75,-6.75,7500:496:4,0.33
Alosa,fallax,55.75,-9.75,7500:459:4,0.27
Alosa,fallax,55.75,-3.25,7500:353:3,0.21
Alosa,fallax,53.25,-8.75,7500:238:2,0.36
Alosa,fallax,51.75,-9.25,7500:219:3,0.33
Alosa,fallax,53.25,-2.75,7500:132:2,0.37
Alosa,fallax,44.25,-8.75,7400:248:2,0.29
Alosa,fallax,33.25,-16.25,7301:236:1,0.32
Alosa,fallax,32.75,-17.25,7301:227:3,0.29
Alosa,fallax,32.75,-16.75,7301:226:4,0.30
Alosa,fallax,32.75,-16.25,7301:226:3,0.31
Alosa,fallax,32.25,-16.25,7301:226:1,0.29
Alosa,fallax,30.25,-15.75,7301:205:2,0.28
Alosa,fallax,33.75,-14.25,7301:134:3,0.33
Alosa,fallax,31.25,-13.75,7301:113:2,0.32
Alosa,fallax,30.25,-12.75,7301:102:2,0.36
Alosa,fallax,30.25,-10.25,7301:100:1,0.20
Alosa,fallax,39.75,-8.75,7300:498:4,0.38
Alosa,fallax,31.75,-9.25,7300:219:3,0.24
Alosa,fallax,28.75,-17.75,7201:487:4,0.21
Alosa,fallax,28.25,-17.75,7201:487:2,0.22
Alosa,fallax,28.25,-17.25,7201:487:1,0.23
Alosa,fallax,28.75,-16.25,7201:486:3,0.23
Alosa,fallax,28.25,-16.75,7201:486:2,0.23
Alosa,fallax,28.25,-16.25,7201:486:1,0.26
Alosa,fallax,28.25,-15.75,7201:485:2,0.26
Alosa,fallax,28.25,-15.25,7201:485:1,0.28
Alosa,fallax,27.75,-17.75,7201:477:4,0.20
Alosa,fallax,27.75,-15.75,7201:475:4,0.28
Alosa,fallax,27.75,-15.25,7201:475:3,0.35
Alosa,fallax,29.25,-13.75,7201:393:2,0.36
Alosa,fallax,29.75,-12.75,7201:392:4,0.37
Alosa,fallax,28.75,-14.25,7201:384:3,0.31
Alosa,fallax,28.25,-14.75,7201:384:2,0.36
Alosa,fallax,62.75,17.75,1601:227:4,0.29
